University Name,Category,Campuses,Established Since,Sector,Chartered By,City,Province,Recognized University,Distance Education,Campus_count
Abasyn University,General,Islamabad; Peshawar,,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No,2
Abbottabad University of Science and Technology (AUST),General,Mian Campus,,Public,Government of Khyber Pakhtunkhwa,Abbottabad,Khyber Pakhtunkhwa,Yes,No,1
Abdul Wali Khan University,General,Mardan,,Public,Government of Khyber Pakhtunkhwa,Mardan,Khyber Pakhtunkhwa,Yes,No,1
Aga Khan University,General,Karachi,,Private,Government of Pakistan,Karachi,Sindh,Yes,No,1
"Air University, Islamabad",General,Mian Campus; Kamra; Kharian; Lahore; Multan,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,5
"Air War College Institute, Karachi",General,Mian Campus,,Public,Government of Pakistan,Karachi,Sindh,Yes,No,1
"Al-Ghazali University, Karachi",General,Mian Campus,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Al-Hamd Islamic University,General,Quetta,,Private,Government of Balochistan,Quetta,Balochistan,Yes,No,1
Ali Institute of Education,General,Lahore,,Private,Government of Punjab,Lahore,Punjab,Yes,No,1
"Al-Karam International Institute, Bhera",General,Mian Campus,,Private,Government of Pakistan,Bhera,Punjab,Yes,No,1
"Al-Kawthar University, Karachi",General,Mian Campus,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Al-Khair University,General,Bhimber,,Private,Government of AJK,Bhimber,Azad Jammu & Kashmir,Yes,No,1
Allama Iqbal Open University,General,Abbottabad; Islamabad,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,Yes,2
"Aror University of Art, Architecture, Design and Heritage, Sukkur",Arts & Design,Mian Campus,,Public,Government of Sindh,Sukkur,Sindh,Yes,No,1
"Baba Guru Nanak University, Nankana Sahib",General,Mian Campus,,Public,Government of Punjab,Nankana Sahib,Punjab,Yes,No,1
Bacha Khan University,General,Charsada,,Public,Government of Khyber Pakhtunkhwa,Charsada,Khyber Pakhtunkhwa,Yes,No,1
"Bahauddin Zakariya University (BZU), Multan",General,Multan; Sahiwal,,Public,Government of Punjab,Multan,Punjab,Yes,No,2
Bahria University,General,Islamabad; Karachi; Lahore,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,3
Balochistan University of Engineering & Technology,General,Khuzdar,,Public,Government of Balochistan,Khuzdar,Balochistan,Yes,No,1
"Balochistan University of Information Technology, Engineering & Management Sciences (BUITEMS)",Engineering & Technology,Quetta,,Public,Government of Balochistan,Quetta,Balochistan,Yes,No,1
Baqai Medical University,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Beaconhouse National University,General,Lahore,,Private,Government of Punjab,Lahore,Punjab,Yes,No,1
"Begum Nustrat Bhutto Women University, Sukkur",General,Mian Campus,,Public,Government of Sindh,Sukkur,Sindh,Yes,No,1
Benazir Bhutto Shaheed University Lyari,General,Karachi,,Public,Government of Sindh,Karachi,Sindh,Yes,No,1
"Benazir Bhutto Shaheed University of Technology & Skill Development, Khairpur Mirs",Engineering & Technology,Khairpur,,Public,Government of Sindh,Khairpur,Sindh,Yes,No,1
